time_s,eta_a,eta_b,visible_a,visible_b,common_visibility,singles_a_hz,singles_b_hz,true_coincidence_hz,accepted_true_hz,accidental_coincidence_hz,coincidence_hz,qber,sifted_rate_bps,key_rate_bps,cumulative_rate_integral_bits
-22.0,0.002050290189748047,0.0008426931408149717,True,True,True,20702.901897480468,8626.931408149718,17.27765479580906,16.95747086483667,0.17859989545117422,17.136070760287843,0.0344532431057488,8.568035380143922,4.565813111862181,265.56426420420917
-20.0,0.001976149877342095,0.0008790017406739819,True,True,True,19961.498773420954,8990.017406739818,17.37039182016378,17.04848931654044,0.17945162372415782,17.2279409402646,0.03445035441111359,8.6139704701323,4.59054987877466,274.72062719484603
-18.0,0.0019035547398713443,0.000916816035194506,True,True,True,19235.547398713443,9368.16035194506,17.452095093845553,17.128678491483125,0.1801991152921796,17.308877606775305,0.03444775684565602,8.654438803387652,4.612349734420215,283.9235268080409
-16.0,0.0018326292916142997,0.0009561887721901244,True,True,True,18526.292916142997,9761.887721901245,17.523395522283348,17.19865760335759,0.18084903339059438,17.379506636748182,0.034445445511595035,8.689753318374091,4.63137909635645,293.16725563881755
-14.0,0.0017634738017817868,0.0009971724020021208,True,True,True,17834.73801781787,10171.724020021207,17.584874067905563,17.25899684838372,0.18140749278099358,17.440404341164715,0.034443416076219195,8.720202170582358,4.647791253632287,302.4464259888063
-12.0,0.001696166499264798,0.001039818649049023,True,True,True,17161.66499264798,10598.186490490229,17.63705557827733,17.310211347820708,0.18188000158404846,17.492091349404756,0.03444166475500526,8.746045674702378,4.6617247236885095,311.7559419661271
-10.0,0.0016307657549583477,0.0010841780110952208,True,True,True,16507.657549583477,11041.780110952208,17.680403727729374,17.352756183335995,0.1822714140576246,17.53502759739362,0.034440188296946575,8.76751379869681,4.673301904725125,321.09096859454075
-8.0,0.0015673122022024164,0.001130299178116814,True,True,True,15873.122022024165,11502.99178116814,17.71531694001845,17.38702239522567,0.18258589290055005,17.569608288126222,0.03443898397200548,8.784804144063111,4.682627988640391,330.44689848790625
-6.0,0.0015058307655757511,0.0011782283622907906,True,True,True,15258.307655757511,11982.283622907906,17.742125168114047,17.41333382187712,0.18282687976662923,17.59616070164375,0.03443804956061671,8.798080350821875,4.6897901018728705,339.8193165784195
-4.0,0.0014463325767129168,0.0012280085304130866,True,True,True,14663.325767129169,12480.085304130866,17.76108742017802,17.431944671596405,0.1829970728196198,17.614941744416026,0.034437383345180865,8.807470872208013,4.694856644880022,349.20396332517237
-2.0,0.0013888167629763654,0.0012796785300259598,True,True,True,14088.167629763655,12996.785300259598,17.77238993721007,17.443037734025044,0.18309841033820545,17.62613614436325,0.03443698410349879,8.813068072181625,4.6978768053035,358.5966967753559
0.0,0.0013332721007623051,0.0013332721007623051,True,True,True,13532.721007623051,13532.721007623051,17.7761449467113,17.446723156900244,0.18313205958111825,17.629855216481364,0.03443685110410862,8.814927608240682,4.698880224847498,367.9934538055069
2.0,0.0012796785300259598,0.0013888167629763654,True,True,True,12996.785300259598,14088.167629763655,17.77238993721007,17.443037734025044,0.18309841033820545,17.62613614436325,0.03443698410349879,8.813068072181625,4.6978768053035,377.39021083565785
4.0,0.0012280085304130866,0.0014463325767129168,True,True,True,12480.085304130866,14663.325767129169,17.76108742017802,17.431944671596405,0.1829970728196198,17.614941744416026,0.034437383345180865,8.807470872208013,4.694856644880022,386.7829442858414
6.0,0.0011782283622907906,0.0015058307655757511,True,True,True,11982.283622907906,15258.307655757511,17.742125168114047,17.41333382187712,0.18282687976662923,17.59616070164375,0.03443804956061671,8.798080350821875,4.6897901018728705,396.16759103259426
8.0,0.001130299178116814,0.0015673122022024164,True,True,True,11502.99178116814,15873.122022024165,17.715316940018454,17.387022395225674,0.18258589290055005,17.569608288126226,0.034438983972005476,8.784804144063113,4.682627988640393,405.54000912310755
10.0,0.0010841780110952208,0.0016307657549583477,True,True,True,11041.780110952208,16507.657549583477,17.680403727729377,17.352756183336,0.1822714140576246,17.535027597393622,0.03444018829694658,8.767513798696811,4.673301904725125,414.89593901647305
12.0,0.001039818649049023,0.001696166499264798,True,True,True,10598.186490490229,17161.66499264798,17.637055578277327,17.310211347820704,0.18188000158404846,17.492091349404753,0.03444166475500526,8.746045674702376,4.661724723688509,424.2309656448867
14.0,0.0009971724020021208,0.0017634738017817868,True,True,True,10171.724020021207,17834.73801781787,17.58487406790556,17.258996848383717,0.18140749278099358,17.44040434116471,0.034443416076219195,8.720202170582356,4.6477912536322865,433.5404816222075
16.0,0.0009561887721901244,0.0018326292916142997,True,True,True,9761.887721901245,18526.292916142997,17.523395522283348,17.19865760335759,0.18084903339059438,17.379506636748182,0.034445445511595035,8.689753318374091,4.63137909635645,442.81965197219625
18.0,0.000916816035194506,0.0019035547398713443,True,True,True,9368.16035194506,19235.547398713443,17.45209509384555,17.12867849148312,0.1801991152921796,17.3088776067753,0.03444775684565602,8.65443880338765,4.6123497344202145,452.0633808029729
20.0,0.0008790017406739819,0.001976149877342095,True,True,True,8990.017406739818,19961.498773420954,17.370391820163775,17.048489316540437,0.17945162372415782,17.227940940264595,0.03445035441111359,8.613970470132298,4.5905498787746595,461.2662804161678
22.0,0.0008426931408149717,0.002050290189748047,True,True,True,8626.931408149718,20702.901897480468,17.27765479580906,16.95747086483667,0.17859989545117422,17.136070760287843,0.0344532431057488,8.568035380143922,4.565813111862181,470.42264340680464
24.0,0.0008078375541722296,0.002125824740885615,True,True,True,8278.375541722296,21458.24740885615,17.17321059275849,16.854962188100014,0.17763678934286767,17.03259897744288,0.034456428411602194,8.51629948872144,4.537961861720259,479.5264183803871
26.0,0.00077438267206494,0.0022025740857824112,True,True,True,7943.8267206494,22225.740857824112,17.05635205969176,16.740269239710553,0.17655477080607831,16.91682401051663,0.03445991641658527,8.458412005258316,4.506809741331117,488.5711899834385
